Number,Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Source,Running Total ($ with Tax)
1,ESPRESSIF ESP32-C6-WROOM-1-N8,ESP32 Chip,1,4.3546,4.3546,https://www.lcsc.com/product-detail/C5366877.html,Console,4.3546
2,TECH PUBLIC TPESD9B3.3ST5G,Diode,3,0.0396,0.1188,https://www.lcsc.com/product-detail/C2682285.html,Console,4.4734
3,TECH PUBLIC USBLC6-2SC6,Transient Voltage Supressor,1,0.041,0.041,https://www.lcsc.com/product-detail/C2827654.html,Console,4.5144
4,BZCN TSC016A04518A,Tactile Switches for console button,5,0.0107,0.0535,https://www.lcsc.com/product-detail/C2888493.html,Console,4.5679
5,TI LM1117MP-3.3,Voltage Regulators,1,0.2975,0.2975,https://www.lcsc.com/product-detail/C3750685.html,Console,4.8654
6,XHXDZ 1207-P6.5MM,Buzzer,1,0.0316,0.0316,https://www.lcsc.com/product-detail/C49246964.html,Console,4.897
7,1N5817W,DIODE SCHOTTKY,1,0.0197,0.0197,https://www.lcsc.com/product-detail/C727113.html,Console,4.9167
8,MMBT2222A,Bipolar Transistor,1,0.0155,0.0155,https://www.lcsc.com/product-detail/C7420351.html,Console,4.9322
9,HS HS13L03W2C01,"1.3"" OLED",1,5.3558,5.3558,https://www.lcsc.com/product-detail/C7465997.html,Console,10.288
10,muRata BLM21PG220SN1D,Ferrite Beads and Chips,1,0.0308,0.0308,https://www.lcsc.com/product-detail/C88993.html,Console,10.3188
11,Resistor 1kΩ,R6,1,0.0011,0.0011,https://www.lcsc.com/product-detail/C11702.html,Console,10.3199
12,Capacitor 100nF,"C2, C5",2,0.0016,0.0032,https://www.lcsc.com/product-detail/C1525.html,Console,10.3231
13,Capacitor 1uF,"C3, C4",2,0.0098,0.0196,https://www.lcsc.com/product-detail/C15849.html,Console,10.3427
14,Korean Hroparts Elec TYPE-C-31-M-12,USB C Input,1,0.1725,0.1725,https://www.lcsc.com/product-detail/C165948.html,Console,10.5152
15,Capacitor 10uF,C1,1,0.25,0.25,https://www.lcsc.com/product-detail/C19702.html,Console,10.7652
16,B3U-1000P,ESP32 buttons,3,0.1781,0.5343,https://www.lcsc.com/product-detail/C231329.html,Console,11.2995
17,Resistor 2.2kΩ,"R7, R8",2,0.0008,0.0008,https://www.lcsc.com/product-detail/C25879.html,Console,11.3003
18,Resistor 5.1kΩ,"R4, R5",2,0.0009,0.0018,https://www.lcsc.com/product-detail/C25905.html,Console,11.3021
19,Capacitor 22uF,"C6, C7",2,0.0618,0.1236,https://www.lcsc.com/product-detail/C45783.html,Console,11.4257
20,R+O SMD1206-050-30,Reset Fuse,1,0.0599,0.0599,https://www.lcsc.com/product-detail/C46641016.html,Console,11.4856
21,ZHOURI 2.54-2*3,Pin Header,1,0.0562,0.0562,https://www.lcsc.com/product-detail/C5116479.html,Console,11.5418
22,Resistor 10kΩ,"R1,R2,R3",3,0.0009,0.0027,https://www.lcsc.com/product-detail/C60490.html,Console,11.5445
23,6x2mm Strong Magnet Neodymium,To make the enclosure easy to attach-dettach,6,0.053,0.318,https://tk.tokopedia.com/ZSxcDM12f/,Console,11.8625
24,M2X8 Screw,Screw PCB to enclosure,4,0.05,0.2,https://tk.tokopedia.com/ZSxcDKrx9/,Console,12.0625
25,M2 Nylon Nut,Locking the screw,4,0.054,0.216,https://tk.tokopedia.com/ZSxcP4PVw/,Console,12.2785
26,Engineering Fee,Engineering Fee,1,24.0,24.0,https://jlcpcb.com/,Console,36.2785
27,PCB Board,PCB Board,1,1.6,1.6,https://jlcpcb.com/,Console,37.8785
28,PCBA Price,If enabled PCBA option,1,42.17,42.17,https://jlcpcb.com/,Console,80.0485
29,TPOWER TP4056,Charging Module,1,0.1194,0.1194,https://www.lcsc.com/product-detail/C382139.html?globalKeyword=C382139&s_z=n_q_C382139,Powerbank,80.1679
30,PUOLOP DW01A,"Battery protection, prevents overcharging",1,0.0428,0.0428,https://www.lcsc.com/product-detail/C351410.html?globalKeyword=C351410&s_z=n_q_C351410,Powerbank,80.2107
31,XI'AN Aerosemi Tech MT3608,Boost Step-Up Regulator,1,0.0786,0.0786,https://www.lcsc.com/product-detail/C84817.html?globalKeyword=C84817&s_z=n_q_C84817,Powerbank,80.2893
32,TECH PUBLIC FS8205A,LiPo Battery Protection,1,0.0575,0.0575,https://www.lcsc.com/product-detail/C2830320.html?globalKeyword=C2830320&s_z=n_q_C2830320,Powerbank,80.3468
33,SHOU HAN TYPE-C 16PIN 2MD(073),USB C Input and Output,2,0.0742,0.1484,https://www.lcsc.com/product-detail/C2765186.html?globalKeyword=C2765186&s_z=n_q_C2765186,Powerbank,80.4952
34,Hubei KENTO Elec KT-0603R,Red Led,1,0.007,0.007,https://www.lcsc.com/product-detail/C2286.html?globalKeyword=C2286&s_z=n_q_C2286,Powerbank,80.5022
