Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,159.19,-113.98,180.0,bottom
C1,165.41,-133.09,180.0,top
C2,165.11,-136.24,180.0,top
C3,133.61,-161.29,180.0,top
C4,139.54,-162.98,0.0,top
C5,134.61,-145.27,270.0,top
C6,128.35,-133.2,0.0,top
C7,128.34,-130.98,0.0,top
D1,123.16,-134.99,180.0,top
D2,133.93,-159.58,0.0,top
D3,142.65,-161.48,180.0,top
D5,128.41,-162.29,0.0,top
F1,126.76,-140.94,180.0,top
FB1,121.04,-139.88,90.0,top
J1,153.125,-164.4,0.0,top
J2,123.86,-147.79,270.0,top
OLED1,144.14,-74.34,0.0,bottom
Q1,165.5,-122.53,270.0,top
R1,136.51,-161.33,180.0,top
R2,142.78,-162.99,180.0,top
R3,154.41,-136.39,270.0,top
R4,124.1,-156.99,270.0,top
R5,125.36,-157.01,270.0,top
R6,151.83,-132.84,90.0,top
R7,160.19,-135.17,270.0,top
R8,157.51,-135.23,270.0,top
SW1,135.06,-165.29,180.0,top
SW2,129.21,-165.325,180.0,top
SW3,144.68,-167.62,270.0,top
SW4,140.13,-109.95,180.0,bottom
SW5,140.13,-97.64,180.0,bottom
SW6,131.14,-103.17,180.0,bottom
SW7,149.28,-103.17,180.0,bottom
SW8,124.42,-115.35,0.0,bottom
U1,157.61,-147.79,270.0,top
U3,135.26,-130.94,180.0,top
U4,133.76,-148.44,180.0,top
